Participant,Context,Rate
p1,exp8,7
p1,exp2,1
p1,exp3,4
p1,exp5,1
p1,exp4,1
p1,exp6,3
p1,exp1,7
p1,exp7,1
p2,exp8,5
p2,exp2,3
p2,exp3,5
p2,exp5,3
p2,exp4,3
p2,exp6,5
p2,exp1,6
p2,exp7,2
p3,exp8,7
p3,exp2,2
p3,exp3,7
p3,exp5,3
p3,exp4,2
p3,exp6,7
p3,exp1,7
p3,exp7,1
p4,exp8,6
p4,exp2,4
p4,exp3,5
p4,exp5,4
p4,exp4,5
p4,exp6,5
p4,exp1,5
p4,exp7,2
p5,exp8,5
p5,exp2,1
p5,exp3,5
p5,exp5,2
p5,exp4,1
p5,exp6,6
p5,exp1,7
p5,exp7,1
p6,exp8,5
p6,exp2,1
p6,exp3,3
p6,exp5,1
p6,exp4,1
p6,exp6,5
p6,exp1,6
p6,exp7,2
p7,exp8,7
p7,exp2,2
p7,exp3,7
p7,exp5,1
p7,exp4,1
p7,exp6,7
p7,exp1,7
p7,exp7,1
p8,exp8,6
p8,exp2,2
p8,exp3,5
p8,exp5,2
p8,exp4,2
p8,exp6,5
p8,exp1,7
p8,exp7,3
p9,exp8,6
p9,exp2,4
p9,exp3,6
p9,exp5,5
p9,exp4,4
p9,exp6,7
p9,exp1,7
p9,exp7,4
p10,exp8,7
p10,exp2,2
p10,exp3,7
p10,exp5,2
p10,exp4,1
p10,exp6,7
p10,exp1,7
p10,exp7,1
p11,exp8,7
p11,exp2,4
p11,exp3,7
p11,exp5,5
p11,exp4,4
p11,exp6,6
p11,exp1,7
p11,exp7,5
p12,exp8,3
p12,exp2,2
p12,exp3,4
p12,exp5,2
p12,exp4,3
p12,exp6,5
p12,exp1,6
p12,exp7,3
p13,exp8,7
p13,exp2,3
p13,exp3,5
p13,exp5,3
p13,exp4,1
p13,exp6,5
p13,exp1,7
p13,exp7,3
p14,exp8,7
p14,exp2,3
p14,exp3,6
p14,exp5,2
p14,exp4,2
p14,exp6,5
p14,exp1,7
p14,exp7,2
p15,exp8,7
p15,exp2,1
p15,exp3,4
p15,exp5,2
p15,exp4,2
p15,exp6,3
p15,exp1,7
p15,exp7,2
p16,exp8,6
p16,exp2,5
p16,exp3,4
p16,exp5,1
p16,exp4,2
p16,exp6,4
p16,exp1,6
p16,exp7,0
p17,exp8,7
p17,exp2,0
p17,exp3,1
p17,exp5,0
p17,exp4,0
p17,exp6,1
p17,exp1,7
p17,exp7,6
p18,exp8,7
p18,exp2,4
p18,exp3,4
p18,exp5,3
p18,exp4,2
p18,exp6,3
p18,exp1,7
p18,exp7,0
p19,exp8,6
p19,exp2,3
p19,exp3,4
p19,exp5,3
p19,exp4,2
p19,exp6,4
p19,exp1,7
p19,exp7,2
p20,exp8,6
p20,exp2,3
p20,exp3,2
p20,exp5,2
p20,exp4,2
p20,exp6,5
p20,exp1,7
p20,exp7,2
p21,exp8,7
p21,exp2,0
p21,exp3,7
p21,exp5,0
p21,exp4,0
p21,exp6,7
p21,exp1,7
p21,exp7,0
p22,exp8,3
p22,exp2,3
p22,exp3,5
p22,exp5,4
p22,exp4,6
p22,exp6,6
p22,exp1,6
p22,exp7,4
p23,exp8,6
p23,exp2,2
p23,exp3,4
p23,exp5,2
p23,exp4,1
p23,exp6,5
p23,exp1,7
p23,exp7,1
p24,exp8,5
p24,exp2,4
p24,exp3,6
p24,exp5,5
p24,exp4,5
p24,exp6,6
p24,exp1,7
p24,exp7,4
p25,exp8,6
p25,exp2,4
p25,exp3,7
p25,exp5,4
p25,exp4,4
p25,exp6,6
p25,exp1,7
p25,exp7,3
p26,exp8,6
p26,exp2,1
p26,exp3,2
p26,exp5,1
p26,exp4,1
p26,exp6,4
p26,exp1,5
p26,exp7,1
p27,exp8,7
p27,exp2,7
p27,exp3,7
p27,exp5,4
p27,exp4,5
p27,exp6,7
p27,exp1,7
p27,exp7,5
p28,exp8,6
p28,exp2,1
p28,exp3,7
p28,exp5,1
p28,exp4,2
p28,exp6,7
p28,exp1,7
p28,exp7,3
p29,exp8,5
p29,exp2,4
p29,exp3,4
p29,exp5,3
p29,exp4,4
p29,exp6,6
p29,exp1,6
p29,exp7,5
p30,exp8,6
p30,exp2,3
p30,exp3,7
p30,exp5,4
p30,exp4,2
p30,exp6,6
p30,exp1,7
p30,exp7,5
