Participant,Context,Picture,Number,Uniqueness,Centered,Expected,Rate
p1,exp1,1,sg,yes,NA,good,3
p2,exp1,1,sg,yes,NA,good,7
p3,exp1,1,sg,yes,NA,good,7
p4,exp1,1,sg,yes,NA,good,7
p5,exp1,1,sg,yes,NA,good,7
p6,exp1,1,sg,yes,NA,good,7
p7,exp1,1,sg,yes,NA,good,4
p8,exp1,1,sg,yes,NA,good,7
p9,exp1,1,sg,yes,NA,good,7
p10,exp1,1,sg,yes,NA,good,7
p11,exp1,1,sg,yes,NA,good,6
p12,exp1,1,sg,yes,NA,good,6
p13,exp1,1,sg,yes,NA,good,7
p14,exp1,1,sg,yes,NA,good,7
p15,exp1,1,sg,yes,NA,good,7
p16,exp1,1,sg,yes,NA,good,5
p17,exp1,1,sg,yes,NA,good,7
p18,exp1,1,sg,yes,NA,good,7
p19,exp1,1,sg,yes,NA,good,6
p20,exp1,1,sg,yes,NA,good,6
p21,exp1,1,sg,yes,NA,good,7
p22,exp1,1,sg,yes,NA,good,6
p23,exp1,1,sg,yes,NA,good,4
p24,exp1,1,sg,yes,NA,good,5
p25,exp1,1,sg,yes,NA,good,7
p26,exp1,1,sg,yes,NA,good,6
p27,exp1,1,sg,yes,NA,good,7
p1,exp2,2,sg,no,yes,maybe,2
p2,exp2,2,sg,no,yes,maybe,5
p3,exp2,2,sg,no,yes,maybe,3
p4,exp2,2,sg,no,yes,maybe,1
p5,exp2,2,sg,no,yes,maybe,2
p6,exp2,2,sg,no,yes,maybe,2
p7,exp2,2,sg,no,yes,maybe,3
p8,exp2,2,sg,no,yes,maybe,7
p9,exp2,2,sg,no,yes,maybe,3
p10,exp2,2,sg,no,yes,maybe,3
p11,exp2,2,sg,no,yes,maybe,0
p12,exp2,2,sg,no,yes,maybe,3
p13,exp2,2,sg,no,yes,maybe,4
p14,exp2,2,sg,no,yes,maybe,1
p15,exp2,2,sg,no,yes,maybe,6
p16,exp2,2,sg,no,yes,maybe,3
p17,exp2,2,sg,no,yes,maybe,1
p18,exp2,2,sg,no,yes,maybe,1
p19,exp2,2,sg,no,yes,maybe,4
p20,exp2,2,sg,no,yes,maybe,5
p21,exp2,2,sg,no,yes,maybe,5
p22,exp2,2,sg,no,yes,maybe,3
p23,exp2,2,sg,no,yes,maybe,1
p24,exp2,2,sg,no,yes,maybe,1
p25,exp2,2,sg,no,yes,maybe,0
p26,exp2,2,sg,no,yes,maybe,2
p27,exp2,2,sg,no,yes,maybe,7
p1,exp3,5,pl,yes,NA,good,1
p2,exp3,5,pl,yes,NA,good,7
p3,exp3,5,pl,yes,NA,good,7
p4,exp3,5,pl,yes,NA,good,5
p5,exp3,5,pl,yes,NA,good,7
p6,exp3,5,pl,yes,NA,good,7
p7,exp3,5,pl,yes,NA,good,3
p8,exp3,5,pl,yes,NA,good,7
p9,exp3,5,pl,yes,NA,good,5
p10,exp3,5,pl,yes,NA,good,5
p11,exp3,5,pl,yes,NA,good,7
p12,exp3,5,pl,yes,NA,good,4
p13,exp3,5,pl,yes,NA,good,4
p14,exp3,5,pl,yes,NA,good,6
p15,exp3,5,pl,yes,NA,good,4
p16,exp3,5,pl,yes,NA,good,3
p17,exp3,5,pl,yes,NA,good,6
p18,exp3,5,pl,yes,NA,good,7
p19,exp3,5,pl,yes,NA,good,6
p20,exp3,5,pl,yes,NA,good,6
p21,exp3,5,pl,yes,NA,good,7
p22,exp3,5,pl,yes,NA,good,6
p23,exp3,5,pl,yes,NA,good,4
p24,exp3,5,pl,yes,NA,good,6
p25,exp3,5,pl,yes,NA,good,6
p26,exp3,5,pl,yes,NA,good,1
p27,exp3,5,pl,yes,NA,good,7
p1,exp5,1,pl,no,NA,bad,1
p2,exp5,1,pl,no,NA,bad,2
p3,exp5,1,pl,no,NA,bad,0
p4,exp5,1,pl,no,NA,bad,2
p5,exp5,1,pl,no,NA,bad,4
p6,exp5,1,pl,no,NA,bad,1
p7,exp5,1,pl,no,NA,bad,2
p8,exp5,1,pl,no,NA,bad,1
p9,exp5,1,pl,no,NA,bad,3
p10,exp5,1,pl,no,NA,bad,3
p11,exp5,1,pl,no,NA,bad,0
p12,exp5,1,pl,no,NA,bad,3
p13,exp5,1,pl,no,NA,bad,2
p14,exp5,1,pl,no,NA,bad,1
p15,exp5,1,pl,no,NA,bad,1
p16,exp5,1,pl,no,NA,bad,3
p17,exp5,1,pl,no,NA,bad,0
p18,exp5,1,pl,no,NA,bad,0
p19,exp5,1,pl,no,NA,bad,1
p20,exp5,1,pl,no,NA,bad,1
p21,exp5,1,pl,no,NA,bad,3
p22,exp5,1,pl,no,NA,bad,3
p23,exp5,1,pl,no,NA,bad,1
p24,exp5,1,pl,no,NA,bad,0
p25,exp5,1,pl,no,NA,bad,0
p26,exp5,1,pl,no,NA,bad,1
p27,exp5,1,pl,no,NA,bad,1
p1,exp7,5,sg,no,NA,bad,1
p2,exp7,5,sg,no,NA,bad,7
p3,exp7,5,sg,no,NA,bad,0
p4,exp7,5,sg,no,NA,bad,2
p5,exp7,5,sg,no,NA,bad,2
p6,exp7,5,sg,no,NA,bad,2
p7,exp7,5,sg,no,NA,bad,2
p8,exp7,5,sg,no,NA,bad,1
p9,exp7,5,sg,no,NA,bad,3
p10,exp7,5,sg,no,NA,bad,3
p11,exp7,5,sg,no,NA,bad,1
p12,exp7,5,sg,no,NA,bad,4
p13,exp7,5,sg,no,NA,bad,4
p14,exp7,5,sg,no,NA,bad,7
p15,exp7,5,sg,no,NA,bad,4
p16,exp7,5,sg,no,NA,bad,4
p17,exp7,5,sg,no,NA,bad,1
p18,exp7,5,sg,no,NA,bad,2
p19,exp7,5,sg,no,NA,bad,1
p20,exp7,5,sg,no,NA,bad,2
p21,exp7,5,sg,no,NA,bad,3
p22,exp7,5,sg,no,NA,bad,2
p23,exp7,5,sg,no,NA,bad,1
p24,exp7,5,sg,no,NA,bad,1
p25,exp7,5,sg,no,NA,bad,4
p26,exp7,5,sg,no,NA,bad,1
p27,exp7,5,sg,no,NA,bad,3
p1,exp8,4,pl,no,no,maybe,3
p2,exp8,4,pl,no,no,maybe,4
p3,exp8,4,pl,no,no,maybe,7
p4,exp8,4,pl,no,no,maybe,3
p5,exp8,4,pl,no,no,maybe,1
p6,exp8,4,pl,no,no,maybe,1
