Participant,Context,Rate
rus-p1,exp8,7
rus-p1,exp2,3
rus-p1,exp3,7
rus-p1,exp5,3
rus-p1,exp4,3
rus-p1,exp6,7
rus-p1,exp1,7
rus-p1,exp7,3
rus-p2,exp8,7
rus-p2,exp2,4
rus-p2,exp3,4
rus-p2,exp5,4
rus-p2,exp4,3
rus-p2,exp6,6
rus-p2,exp1,7
rus-p2,exp7,4
rus-p3,exp8,7
rus-p3,exp2,1
rus-p3,exp3,1
rus-p3,exp5,1
rus-p3,exp4,1
rus-p3,exp6,6
rus-p3,exp1,7
rus-p3,exp7,1
rus-p4,exp8,7
rus-p4,exp2,1
rus-p4,exp3,4
rus-p4,exp5,2
rus-p4,exp4,2
rus-p4,exp6,6
rus-p4,exp1,7
rus-p4,exp7,1
rus-p5,exp8,7
rus-p5,exp2,1
rus-p5,exp3,7
rus-p5,exp5,1
rus-p5,exp4,1
rus-p5,exp6,7
rus-p5,exp1,7
rus-p5,exp7,1
rus-p6,exp8,7
rus-p6,exp2,2
rus-p6,exp3,1
rus-p6,exp5,0
rus-p6,exp4,0
rus-p6,exp6,7
rus-p6,exp1,7
rus-p6,exp7,0
rus-p7,exp8,7
rus-p7,exp2,0
rus-p7,exp3,1
rus-p7,exp5,0
rus-p7,exp4,0
rus-p7,exp6,2
rus-p7,exp1,7
rus-p7,exp7,0
rus-p8,exp8,7
rus-p8,exp2,5
rus-p8,exp3,7
rus-p8,exp5,4
rus-p8,exp4,3
rus-p8,exp6,7
rus-p8,exp1,7
rus-p8,exp7,1
rus-p9,exp8,4
rus-p9,exp2,6
rus-p9,exp3,4
rus-p9,exp5,5
rus-p9,exp4,3
rus-p9,exp6,4
rus-p9,exp1,4
rus-p9,exp7,4
rus-p10,exp8,6
rus-p10,exp2,6
rus-p10,exp3,7
rus-p10,exp5,3
rus-p10,exp4,1
rus-p10,exp6,7
rus-p10,exp1,7
rus-p10,exp7,3
rus-p11,exp8,7
rus-p11,exp2,3
rus-p11,exp3,6
rus-p11,exp5,3
rus-p11,exp4,2
rus-p11,exp6,6
rus-p11,exp1,7
rus-p11,exp7,1
rus-p12,exp8,7
rus-p12,exp2,2
rus-p12,exp3,5
rus-p12,exp5,2
rus-p12,exp4,2
rus-p12,exp6,5
rus-p12,exp1,7
rus-p12,exp7,2
rus-p13,exp8,7
rus-p13,exp2,2
rus-p13,exp3,7
rus-p13,exp5,1
rus-p13,exp4,2
rus-p13,exp6,7
rus-p13,exp1,7
rus-p13,exp7,1
rus-p14,exp8,6
rus-p14,exp2,4
rus-p14,exp3,5
rus-p14,exp5,3
rus-p14,exp4,5
rus-p14,exp6,6
rus-p14,exp1,6
rus-p14,exp7,4
rus-p15,exp8,5
rus-p15,exp2,4
rus-p15,exp3,5
rus-p15,exp5,4
rus-p15,exp4,4
rus-p15,exp6,5
rus-p15,exp1,7
rus-p15,exp7,4
rus-p16,exp8,7
rus-p16,exp2,4
rus-p16,exp3,7
rus-p16,exp5,2
rus-p16,exp4,2
rus-p16,exp6,7
rus-p16,exp1,7
rus-p16,exp7,1
rus-p17,exp8,7
rus-p17,exp2,1
rus-p17,exp3,7
rus-p17,exp5,1
rus-p17,exp4,1
rus-p17,exp6,7
rus-p17,exp1,7
rus-p17,exp7,1
rus-p18,exp8,7
rus-p18,exp2,4
rus-p18,exp3,7
rus-p18,exp5,4
rus-p18,exp4,5
rus-p18,exp6,7
rus-p18,exp1,7
rus-p18,exp7,2
rus-p19,exp8,7
rus-p19,exp2,3
rus-p19,exp3,4
rus-p19,exp5,2
rus-p19,exp4,1
rus-p19,exp6,7
rus-p19,exp1,7
rus-p19,exp7,3
rus-p20,exp8,7
rus-p20,exp2,3
rus-p20,exp3,6
rus-p20,exp5,3
rus-p20,exp4,0
rus-p20,exp6,7
rus-p20,exp1,7
rus-p20,exp7,1
rus-p21,exp8,7
rus-p21,exp2,2
rus-p21,exp3,7
rus-p21,exp5,0
rus-p21,exp4,7
rus-p21,exp6,7
rus-p21,exp1,7
rus-p21,exp7,0
rus-p22,exp8,7
rus-p22,exp2,3
rus-p22,exp3,2
rus-p22,exp5,4
rus-p22,exp4,3
rus-p22,exp6,6
rus-p22,exp1,7
rus-p22,exp7,3
rus-p23,exp8,7
rus-p23,exp2,1
rus-p23,exp3,6
rus-p23,exp5,2
rus-p23,exp4,1
rus-p23,exp6,6
rus-p23,exp1,7
rus-p23,exp7,1
rus-p24,exp8,7
rus-p24,exp2,0
rus-p24,exp3,7
rus-p24,exp5,0
rus-p24,exp4,0
rus-p24,exp6,7
rus-p24,exp1,7
rus-p24,exp7,0
rus-p25,exp8,6
rus-p25,exp2,3
rus-p25,exp3,7
rus-p25,exp5,2
rus-p25,exp4,1
rus-p25,exp6,7
rus-p25,exp1,6
rus-p25,exp7,2
rus-p26,exp8,7
rus-p26,exp2,2
rus-p26,exp3,6
rus-p26,exp5,2
rus-p26,exp4,1
rus-p26,exp6,7
rus-p26,exp1,7
rus-p26,exp7,0
rus-p27,exp8,7
rus-p27,exp2,7
rus-p27,exp3,7
rus-p27,exp5,1
rus-p27,exp4,1
rus-p27,exp6,7
rus-p27,exp1,7
rus-p27,exp7,2
rus-p28,exp8,7
rus-p28,exp2,7
rus-p28,exp3,4
rus-p28,exp5,4
rus-p28,exp4,2
rus-p28,exp6,7
rus-p28,exp1,7
rus-p28,exp7,0
rus-p29,exp8,7
rus-p29,exp2,7
rus-p29,exp3,7
rus-p29,exp5,7
rus-p29,exp4,1
rus-p29,exp6,7
rus-p29,exp1,7
rus-p29,exp7,1
